Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,White 2010,Black 2010,American Indian 2010,Asian 2010,Native Pacific Islander 2010,Other 2010,Multiracial 2010,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Non-Hispanic 2010,Hispanic 2010,% Non-Hispanic 2010,% Hispanic 2010,2010 Hispanic,2010 Non-Hispanic:,2010 White,2010 Black,2010 American Indian,2010 Asian,2010 Native Pacific Islander,2010 Other,2010 Multiracial,% 2010 Hispanic,% 2010 Non-Hispanic:,% 2010 White,% 2010 Black,% 2010 American Indian,% 2010 Asian,% 2010 Native Pacific Islander,% 2010 Other,% 2010 Multiracial,Population 18 Years and Over 2010:,White 18 Years and Over 2010,Black 18 Years and Over 2010,American Indian 18 Years and Over 2010,Asian 18 Years and Over 2010,Native Pacific Islander 18 Years and Over 2010,Other 18 Years and Over 2010,Multiracial 18 Years and Over 2010,% White 18 Years and Over 2010,% Black 18 Years and Over 2010,% American Indian 18 Years and Over 2010,% Asian 18 Years and Over 2010,% Native Pacific Islander 18 Years and Over 2010,% Other 18 Years and Over 2010,% Multiracial 18 Years and Over 2010,2010 Hispanic 18 Years and Over,2010 Non-Hispanic 18 Years and Over:,2010 Non-Hispanic White 18 Years and Over,2010 Non-Hispanic Black 18 Years and Over,2010 Non-Hispanic American Indian 18 Years and Over,2010 Non-Hispanic Asian 18 Years and Over,2010 Non-Hispanic Native Pacific Islander 18 Years and Over,2010 Non-Hispanic Other 18 Years and Over,2010 Non-Hispanic Multiracial 18 Years and Over,% 2010 Hispanic 18 Years and Over,% 2010 Non-Hispanic 18 Years and Over:,% 2010 Non-Hispanic White 18 Years and Over,% 2010 Non-Hispanic Black 18 Years and Over,% 2010 Non-Hispanic American Indian 18 Years and Over,% 2010 Non-Hispanic Asian 18 Years and Over,% 2010 Non-Hispanic Native Pacific Islander 18 Years and Over,% 2010 Non-Hispanic Other 18 Years and Over,% 2010 Non-Hispanic Multiracial 18 Years and Over,Crime Rate
2,1.41486765,2969,1295,2969,5466.9183,0.5461,1295,1235,60,95.37,4.63,2666,77,10,132,1,32,51,89.79,2.59,0.34,4.45,0.03,1.08,1.72,2847,122,95.89,4.11,122,2847,2580,76,7,131,1,13,39,4.11,95.89,86.9,2.56,0.24,4.41,0.03,0.44,1.31,2449,2220,72,10,99,1,21,26,90.65,2.94,0.41,4.04,0.04,0.86,1.06,98,2351,2147,72,7,98,1,5,21,4,96,87.67,2.94,0.29,4,0.04,0.2,0.86,0.673627484
12,1.17128793,5077,2227,5077,11226.4279,0.4522,2227,2089,138,93.8,6.2,4335,296,12,132,0,177,125,85.39,5.83,0.24,2.6,0,3.49,2.46,4590,487,90.41,9.59,487,4590,4085,263,6,128,0,29,79,9.59,90.41,80.46,5.18,0.12,2.52,0,0.57,1.56,4235,3688,229,8,105,0,132,73,87.08,5.41,0.19,2.48,0,3.12,1.72,344,3891,3512,206,5,103,0,19,46,8.12,91.88,82.93,4.86,0.12,2.43,0,0.45,1.09,2.363600552
10,0.35324684,1508,696,1508,11056.5436,0.1364,696,660,36,94.83,5.17,1321,55,2,54,0,20,56,87.6,3.65,0.13,3.58,0,1.33,3.71,1431,77,94.89,5.11,77,1431,1270,55,1,54,0,8,43,5.11,94.89,84.22,3.65,0.07,3.58,0,0.53,2.85,1237,1095,49,2,46,0,16,29,88.52,3.96,0.16,3.72,0,1.29,2.34,58,1179,1054,49,1,46,0,8,21,4.69,95.31,85.21,3.96,0.08,3.72,0,0.65,1.7,6.631299735
8,0.29029664,2095,1060,2095,18691.3525,0.1121,1060,1000,60,94.34,5.66,1553,189,5,126,0,149,73,74.13,9.02,0.24,6.01,0,7.11,3.48,1688,407,80.57,19.43,407,1688,1359,150,2,126,0,8,43,19.43,80.57,64.87,7.16,0.1,6.01,0,0.38,2.05,1746,1362,142,1,104,0,94,43,78.01,8.13,0.06,5.96,0,5.38,2.46,260,1486,1235,116,0,104,0,6,25,14.89,85.11,70.73,6.64,0,5.96,0,0.34,1.43,3.818615752
6,1.84046339,2444,953,2444,3443.9437,0.7107,953,898,55,94.23,5.77,1977,125,8,210,1,27,96,80.89,5.11,0.33,8.59,0.04,1.1,3.93,2294,150,93.86,6.14,150,2294,1890,117,2,209,1,5,70,6.14,93.86,77.33,4.79,0.08,8.55,0.04,0.2,2.86,2017,1684,78,3,184,0,19,49,83.49,3.87,0.15,9.12,0,0.94,2.43,89,1928,1629,74,2,183,0,4,36,4.41,95.59,80.76,3.67,0.1,9.07,0,0.2,1.78,2.454991817
31,0.71946381,3439,1726,3439,12379.9373,0.2778,1726,1659,67,96.12,3.88,2186,596,18,118,0,374,147,63.56,17.33,0.52,3.43,0,10.88,4.27,2639,800,76.74,23.26,800,2639,1903,510,7,115,0,28,76,23.26,76.74,55.34,14.83,0.2,3.34,0,0.81,2.21,2936,1963,465,15,105,0,282,106,66.86,15.84,0.51,3.58,0,9.6,3.61,589,2347,1752,407,5,104,0,20,59,20.06,79.94,59.67,13.86,0.17,3.54,0,0.68,2.01,9.014248328
54,0.66292661,4795,1895,4795,18733.6312,0.256,1895,1784,111,94.14,5.86,2524,950,45,138,0,843,295,52.64,19.81,0.94,2.88,0,17.58,6.15,2974,1821,62.02,37.98,1821,2974,1908,789,9,136,0,28,104,37.98,62.02,39.79,16.45,0.19,2.84,0,0.58,2.17,3933,2198,752,33,123,0,616,211,55.89,19.12,0.84,3.13,0,15.66,5.36,1344,2589,1726,641,7,121,0,23,71,34.17,65.83,43.89,16.3,0.18,3.08,0,0.58,1.81,11.26173097
75,0.99893133,5751,2825,5751,14911.0056,0.3857,2825,2710,115,95.93,4.07,4644,428,25,262,2,186,204,80.75,7.44,0.43,4.56,0.03,3.23,3.55,5185,566,90.16,9.84,566,5185,4344,383,13,259,2,24,160,9.84,90.16,75.53,6.66,0.23,4.5,0.03,0.42,2.78,5078,4173,371,21,220,2,157,134,82.18,7.31,0.41,4.33,0.04,3.09,2.64,476,4602,3913,337,13,218,2,17,102,9.37,90.63,77.06,6.64,0.26,4.29,0.04,0.33,2.01,13.04121022
50,0.21370742,2331,905,2331,28250.4482,0.0825,905,852,53,94.14,5.86,1184,347,38,63,0,529,170,50.79,14.89,1.63,2.7,0,22.69,7.29,1136,1195,48.73,51.27,1195,1136,764,232,6,63,0,22,49,51.27,48.73,32.78,9.95,0.26,2.7,0,0.94,2.1,1910,1033,267,32,54,0,392,132,54.08,13.98,1.68,2.83,0,20.52,6.91,923,987,704,175,5,54,0,15,34,48.32,51.68,36.86,9.16,0.26,2.83,0,0.79,1.78,21.45002145
42,0.25821231,2335,1103,2335,23421.15,0.0997,1103,1054,49,95.56,4.44,1888,132,8,81,1,108,117,80.86,5.65,0.34,3.47,0.04,4.63,5.01,2034,301,87.11,12.89,301,2034,1751,115,3,79,1,15,70,12.89,87.11,74.99,4.93,0.13,3.38,0.04,0.64,3,2067,1719,105,7,76,1,84,75,83.16,5.08,0.34,3.68,0.05,4.06,3.63,236,1831,1604,96,2,74,1,11,43,11.42,88.58,77.6,4.64,0.1,3.58,0.05,0.53,2.08,17.98715203
