Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,White 2010,Black 2010,American Indian 2010,Asian 2010,Native Pacific Islander 2010,Other 2010,Multiracial 2010,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Non-Hispanic 2010,Hispanic 2010,% Non-Hispanic 2010,% Hispanic 2010,2010 Hispanic,2010 Non-Hispanic:,2010 White,2010 Black,2010 American Indian,2010 Asian,2010 Native Pacific Islander,2010 Other,2010 Multiracial,% 2010 Hispanic,% 2010 Non-Hispanic:,% 2010 White,% 2010 Black,% 2010 American Indian,% 2010 Asian,% 2010 Native Pacific Islander,% 2010 Other,% 2010 Multiracial,Population 18 Years and Over 2010:,White 18 Years and Over 2010,Black 18 Years and Over 2010,American Indian 18 Years and Over 2010,Asian 18 Years and Over 2010,Native Pacific Islander 18 Years and Over 2010,Other 18 Years and Over 2010,Multiracial 18 Years and Over 2010,% White 18 Years and Over 2010,% Black 18 Years and Over 2010,% American Indian 18 Years and Over 2010,% Asian 18 Years and Over 2010,% Native Pacific Islander 18 Years and Over 2010,% Other 18 Years and Over 2010,% Multiracial 18 Years and Over 2010,2010 Hispanic 18 Years and Over,2010 Non-Hispanic 18 Years and Over:,2010 Non-Hispanic White 18 Years and Over,2010 Non-Hispanic Black 18 Years and Over,2010 Non-Hispanic American Indian 18 Years and Over,2010 Non-Hispanic Asian 18 Years and Over,2010 Non-Hispanic Native Pacific Islander 18 Years and Over,2010 Non-Hispanic Other 18 Years and Over,2010 Non-Hispanic Multiracial 18 Years and Over,% 2010 Hispanic 18 Years and Over,% 2010 Non-Hispanic 18 Years and Over:,% 2010 Non-Hispanic White 18 Years and Over,% 2010 Non-Hispanic Black 18 Years and Over,% 2010 Non-Hispanic American Indian 18 Years and Over,% 2010 Non-Hispanic Asian 18 Years and Over,% 2010 Non-Hispanic Native Pacific Islander 18 Years and Over,% 2010 Non-Hispanic Other 18 Years and Over,% 2010 Non-Hispanic Multiracial 18 Years and Over,Crime Rate
91,0.58130462,3349,1227,3349,14921.4005,0.2244,1227,1134,93,92.42,7.58,859,1501,16,542,0,262,169,25.65,44.82,0.48,16.18,0,7.82,5.05,2927,422,87.4,12.6,422,2927,740,1417,15,542,0,90,123,12.6,87.4,22.1,42.31,0.45,16.18,0,2.69,3.67,2566,753,1119,10,390,0,183,111,29.35,43.61,0.39,15.2,0,7.13,4.33,285,2281,663,1068,9,390,0,64,87,11.11,88.89,25.84,41.62,0.35,15.2,0,2.49,3.39,27.17229024
90,0.34297681,2893,1077,2893,21846.6568,0.1324,1077,956,121,88.77,11.23,160,2314,9,21,0,242,147,5.53,79.99,0.31,0.73,0,8.37,5.08,2435,458,84.17,15.83,458,2435,47,2222,5,21,0,41,99,15.83,84.17,1.62,76.81,0.17,0.73,0,1.42,3.42,2051,114,1673,6,15,0,148,95,5.56,81.57,0.29,0.73,0,7.22,4.63,285,1766,42,1613,3,15,0,26,67,13.9,86.1,2.05,78.64,0.15,0.73,0,1.27,3.27,31.10957484
77,0.59401155,5277,2065,5277,23008.6475,0.2293,2065,1873,192,90.7,9.3,410,3790,52,47,0,685,293,7.77,71.82,0.99,0.89,0,12.98,5.55,3807,1470,72.14,27.86,1470,3807,56,3470,32,43,0,60,146,27.86,72.14,1.06,65.76,0.61,0.81,0,1.14,2.77,3642,246,2711,26,30,0,438,191,6.75,74.44,0.71,0.82,0,12.03,5.24,901,2741,43,2516,17,27,0,40,98,24.74,75.26,1.18,69.08,0.47,0.74,0,1.1,2.69,14.59162403
115,1.03788594,5510,2047,5510,13761.5068,0.4004,2047,1895,152,92.57,7.43,455,3910,25,53,4,809,254,8.26,70.96,0.45,0.96,0.07,14.68,4.61,3907,1603,70.91,29.09,1603,3907,57,3542,17,48,4,112,127,29.09,70.91,1.03,64.28,0.31,0.87,0.07,2.03,2.3,3751,270,2745,15,33,3,522,163,7.2,73.18,0.4,0.88,0.08,13.92,4.35,971,2780,45,2526,11,32,3,75,88,25.89,74.11,1.2,67.34,0.29,0.85,0.08,2,2.35,20.87114338
52,0.35059274,2787,1013,2787,20588.8798,0.1354,1013,905,108,89.34,10.66,104,2319,14,27,0,208,115,3.73,83.21,0.5,0.97,0,7.46,4.13,2374,413,85.18,14.82,413,2374,37,2185,4,27,0,49,72,14.82,85.18,1.33,78.4,0.14,0.97,0,1.76,2.58,1967,66,1666,9,19,0,124,83,3.36,84.7,0.46,0.97,0,6.3,4.22,252,1715,28,1586,3,19,0,24,55,12.81,87.19,1.42,80.63,0.15,0.97,0,1.22,2.8,18.65805526
41,0.49187961,3303,1262,3303,17391.9406,0.1899,1262,1121,141,88.83,11.17,180,2750,8,23,0,203,139,5.45,83.26,0.24,0.7,0,6.15,4.21,2951,352,89.34,10.66,352,2951,120,2643,7,23,0,65,93,10.66,89.34,3.63,80.02,0.21,0.7,0,1.97,2.82,2386,136,2020,6,19,0,129,76,5.7,84.66,0.25,0.8,0,5.41,3.19,224,2162,100,1943,5,19,0,42,53,9.39,90.61,4.19,81.43,0.21,0.8,0,1.76,2.22,12.41295792
60,0.62617426,4865,1830,4865,20122.7003,0.2418,1830,1695,135,92.62,7.38,648,3461,21,235,0,269,231,13.32,71.14,0.43,4.83,0,5.53,4.75,4408,457,90.61,9.39,457,4408,557,3320,19,233,0,110,169,9.39,90.61,11.45,68.24,0.39,4.79,0,2.26,3.47,3706,568,2591,16,182,0,201,148,15.33,69.91,0.43,4.91,0,5.42,3.99,299,3407,506,2497,15,180,0,88,121,8.07,91.93,13.65,67.38,0.4,4.86,0,2.37,3.26,12.33299075
107,0.85893187,5989,2383,5989,18058.9827,0.3316,2383,2174,209,91.23,8.77,1040,3545,40,572,2,489,301,17.37,59.19,0.67,9.55,0.03,8.16,5.03,5021,968,83.84,16.16,968,5021,796,3317,14,572,1,115,206,16.16,83.84,13.29,55.38,0.23,9.55,0.02,1.92,3.44,4438,850,2575,26,451,2,344,190,19.15,58.02,0.59,10.16,0.05,7.75,4.28,622,3816,701,2433,9,451,1,86,135,14.02,85.98,15.8,54.82,0.2,10.16,0.02,1.94,3.04,17.86608783
32,0.55258708,5154,2192,5154,24157.0042,0.2134,2192,2028,164,92.52,7.48,2217,1542,9,844,2,346,194,43.02,29.92,0.17,16.38,0.04,6.71,3.76,4676,478,90.73,9.27,478,4676,2102,1418,8,839,2,174,133,9.27,90.73,40.78,27.51,0.16,16.28,0.04,3.38,2.58,4006,1862,1147,8,631,2,244,112,46.48,28.63,0.2,15.75,0.05,6.09,2.8,325,3681,1772,1068,7,628,2,120,84,8.11,91.89,44.23,26.66,0.17,15.68,0.05,3,2.1,6.208769887
40,1.2301483,1904,840,1904,5562.8986,0.4753,840,754,86,89.76,10.24,1381,258,1,160,2,54,48,72.53,13.55,0.05,8.4,0.11,2.84,2.52,1775,129,93.22,6.78,129,1775,1314,235,1,160,1,20,44,6.78,93.22,69.01,12.34,0.05,8.4,0.05,1.05,2.31,1533,1148,194,1,117,2,40,31,74.89,12.65,0.07,7.63,0.13,2.61,2.02,83,1450,1109,181,1,117,1,14,27,5.41,94.59,72.34,11.81,0.07,7.63,0.07,0.91,1.76,21.00840336
53,1.37721716,4322,1975,4322,9298.2324,0.5318,1975,1873,102,94.84,5.16,3901,157,8,167,0,46,43,90.26,3.63,0.19,3.86,0,1.06,0.99,4221,101,97.66,2.34,101,4221,3847,152,5,167,0,16,34,2.34,97.66,89.01,3.52,0.12,3.86,0,0.37,0.79,3448,3133,126,7,120,0,37,25,90.86,3.65,0.2,3.48,0,1.07,0.73,73,3375,3094,123,4,120,0,13,21,2.12,97.88,89.73,3.57,0.12,3.48,0,0.38,0.61,12.26284128
51,1.90768007,5546,2702,5546,8134.6765,0.7368,2702,2524,178,93.41,6.59,3038,1461,16,622,1,165,243,54.78,26.34,0.29,11.22,0.02,2.98,4.38,5134,412,92.57,7.43,412,5134,2896,1364,15,614,1,62,182,7.43,92.57,52.22,24.59,0.27,11.07,0.02,1.12,3.28,4489,2602,1102,15,488,1,128,153,57.96,24.55,0.33,10.87,0.02,2.85,3.41,295,4194,2502,1036,14,481,1,44,116,6.57,93.43,55.74,23.08,0.31,10.72,0.02,0.98,2.58,9.195816805
81,1.00121126,4072,1729,4072,11037.6623,0.3869,1729,1610,119,93.12,6.88,1005,2462,5,281,3,161,155,24.68,60.46,0.12,6.9,0.07,3.95,3.81,3722,350,91.4,8.6,350,3722,933,2342,0,278,0,56,113,8.6,91.4,22.91,57.51,0,6.83,0,1.38,2.78,3192,891,1862,2,213,3,122,99,27.91,58.33,0.06,6.67,0.09,3.82,3.1,243,2949,840,1786,0,210,0,43,70,7.61,92.39,26.32,55.95,0,6.58,0,1.35,2.19,19.89194499
106,1.30213152,5480,2266,5480,10949.1016,0.5025,2266,2127,139,93.87,6.13,251,4693,30,14,0,304,188,4.58,85.64,0.55,0.26,0,5.55,3.43,4886,594,89.16,10.84,594,4886,133,4551,18,13,0,44,127,10.84,89.16,2.43,83.05,0.33,0.24,0,0.8,2.32,4257,190,3705,24,12,0,202,124,4.46,87.03,0.56,0.28,0,4.75,2.91,391,3866,115,3594,18,11,0,34,94,9.18,90.82,2.7,84.43,0.42,0.26,0,0.8,2.21,19.34306569
53,1.16958017,4979,2149,4979,11067.1279,0.4519,2149,1968,181,91.58,8.42,318,4040,35,54,3,312,217,6.39,81.14,0.7,1.08,0.06,6.27,4.36,4286,693,86.08,13.92,693,4286,201,3834,19,53,0,47,132,13.92,86.08,4.04,77,0.38,1.06,0,0.94,2.65,3786,259,3109,23,40,1,215,139,6.84,82.12,0.61,1.06,0.03,5.68,3.67,442,3344,188,2976,14,39,0,37,90,11.67,88.33,4.97,78.61,0.37,1.03,0,0.98,2.38,10.64470777
37,0.37976885,3155,1160,3155,21516.8528,0.1466,1160,1048,112,90.34,9.66,68,2675,8,2,1,251,150,2.16,84.79,0.25,0.06,0.03,7.96,4.75,2676,479,84.82,15.18,479,2676,29,2532,7,2,0,10,96,15.18,84.82,0.92,80.25,0.22,0.06,0,0.32,3.04,2254,40,1969,4,2,1,153,85,1.77,87.36,0.18,0.09,0.04,6.79,3.77,285,1969,22,1875,3,2,0,9,58,12.64,87.36,0.98,83.19,0.13,0.09,0,0.4,2.57,11.7274168
122,0.56124122,4396,1672,4396,20286.3411,0.2167,1672,1511,161,90.37,9.63,173,3849,25,26,3,192,128,3.94,87.56,0.57,0.59,0.07,4.37,2.91,3875,521,88.15,11.85,521,3875,54,3692,15,24,3,3,84,11.85,88.15,1.23,83.99,0.34,0.55,0.07,0.07,1.91,3163,123,2798,18,25,3,117,79,3.89,88.46,0.57,0.79,0.09,3.7,2.5,317,2846,49,2698,10,24,3,2,60,10.02,89.98,1.55,85.3,0.32,0.76,0.09,0.06,1.9,27.75250227
32,0.93508794,5460,2353,5460,15122.9986,0.361,2353,2186,167,92.9,7.1,2806,1089,42,395,2,820,306,51.39,19.95,0.77,7.23,0.04,15.02,5.6,3714,1746,68.02,31.98,1746,3714,2138,961,22,390,2,35,166,31.98,68.02,39.16,17.6,0.4,7.14,0.04,0.64,3.04,4357,2403,799,28,340,2,587,198,55.15,18.34,0.64,7.8,0.05,13.47,4.54,1200,3157,1949,725,10,339,2,28,104,27.54,72.46,44.73,16.64,0.23,7.78,0.05,0.64,2.39,5.860805861
15,0.34821128,2051,874,2051,15255.4375,0.1344,874,815,59,93.25,6.75,682,873,35,45,0,312,104,33.25,42.56,1.71,2.19,0,15.21,5.07,1317,734,64.21,35.79,734,1317,411,795,13,42,0,15,41,35.79,64.21,20.04,38.76,0.63,2.05,0,0.73,2,1559,549,658,19,43,0,232,58,35.21,42.21,1.22,2.76,0,14.88,3.72,517,1042,363,604,5,40,0,11,19,33.16,66.84,23.28,38.74,0.32,2.57,0,0.71,1.22,7.313505607
55,0.81793218,2405,955,2405,7615.479,0.3158,955,898,57,94.03,5.97,1227,681,18,61,0,305,113,51.02,28.32,0.75,2.54,0,12.68,4.7,1713,692,71.23,28.77,692,1713,955,602,13,60,0,19,64,28.77,71.23,39.71,25.03,0.54,2.49,0,0.79,2.66,1845,1003,512,10,51,0,208,61,54.36,27.75,0.54,2.76,0,11.27,3.31,469,1376,814,461,9,50,0,11,31,25.42,74.58,44.12,24.99,0.49,2.71,0,0.6,1.68,22.86902287
24,0.52245063,3566,1362,3566,17678.1176,0.2017,1362,1285,77,94.35,5.65,1655,1047,16,93,6,543,206,46.41,29.36,0.45,2.61,0.17,15.23,5.78,2257,1309,63.29,36.71,1309,2257,1117,945,5,92,5,14,79,36.71,63.29,31.32,26.5,0.14,2.58,0.14,0.39,2.22,2698,1343,758,13,71,5,383,125,49.78,28.09,0.48,2.63,0.19,14.2,4.63,904,1794,980,688,5,70,4,12,35,33.51,66.49,36.32,25.5,0.19,2.59,0.15,0.44,1.3,6.73022995
31,0.95056425,4309,1767,4309,11836.4887,0.367,1767,1675,92,94.79,5.21,2539,1022,14,115,4,412,203,58.92,23.72,0.32,2.67,0.09,9.56,4.71,3307,1002,76.75,23.25,1002,3307,2148,895,10,110,4,46,94,23.25,76.75,49.85,20.77,0.23,2.55,0.09,1.07,2.18,3397,2103,753,12,92,4,314,119,61.91,22.17,0.35,2.71,0.12,9.24,3.5,704,2693,1832,670,8,90,4,35,54,20.72,79.28,53.93,19.72,0.24,2.65,0.12,1.03,1.59,7.194244604
21,0.64784782,3253,1371,3253,13004.9502,0.2501,1371,1300,71,94.82,5.18,2477,348,10,91,0,197,130,76.15,10.7,0.31,2.8,0,6.06,4,2792,461,85.83,14.17,461,2792,2299,321,1,91,0,10,70,14.17,85.83,70.67,9.87,0.03,2.8,0,0.31,2.15,2568,2025,260,8,64,0,143,68,78.86,10.12,0.31,2.49,0,5.57,2.65,319,2249,1898,242,1,64,0,9,35,12.42,87.58,73.91,9.42,0.04,2.49,0,0.35,1.36,6.455579465
45,0.6843,3806,1684,3806,14405.2654,0.2642,1684,1580,104,93.82,6.18,2496,681,16,115,0,339,159,65.58,17.89,0.42,3.02,0,8.91,4.18,2930,876,76.98,23.02,876,2930,2070,625,5,113,0,29,88,23.02,76.98,54.39,16.42,0.13,2.97,0,0.76,2.31,3044,2077,526,15,91,0,253,82,68.23,17.28,0.49,2.99,0,8.31,2.69,636,2408,1770,488,4,90,0,17,39,20.89,79.11,58.15,16.03,0.13,2.96,0,0.56,1.28,11.82343668
