Total Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,Area in Square Kilometers,Population Count,Housing Unit Count,Total Population,Population Density,Total Area (sq miles),Housing Units,Occupied Units,Vacant Units,% Occupied Units,% Vacant Units,% White,% Black ,% American Indian ,% Asian ,% Native Pacific Islander ,% Other ,% Multiracial ,Crime Rate
488,79,91,98,87,17,62,54,0.38039333,3179,1268,3179,21644.8521,0.1469,1268,1123,145,88.56,11.44,9.97,64.39,0.63,0.88,0.06,18.5,5.57,153.5073923
400,55,86,83,74,12,52,38,0.42513483,3659,1294,3659,22291.1924,0.1641,1294,1148,146,88.72,11.28,10.6,58.9,1.18,0.98,0.08,19.49,8.77,109.3194862
249,35,50,37,41,10,49,27,0.30166507,2348,793,2348,20159.1566,0.1165,793,720,73,90.79,9.21,9.92,43.31,0.68,1.53,0.13,34.03,10.39,106.0477002
1370,164,237,265,302,42,169,191,1.07256101,4275,1990,4275,10323.045,0.4141,1990,1832,158,92.06,7.94,64.26,9.22,0.33,17.47,0,5.82,2.9,320.4678363
114,15,23,33,19,3,10,11,1.52252678,3730,1640,3730,8235.4174,0.5879,1640,1540,100,93.9,6.1,44.88,20.38,0.54,19.89,0.13,10.56,3.62,30.56300268
414,56,83,83,84,14,60,34,1.63643591,2742,1315,2742,5984.8537,0.6322,1315,1236,79,93.99,6.01,60.65,11.52,0.04,18.85,0.07,5.22,3.65,150.9846827
471,48,106,101,85,16,71,44,0.42389759,4861,1966,4861,29700.3099,0.1637,1966,1792,174,91.15,8.85,50.26,13.31,0.33,25.04,0.19,6.58,4.3,96.89364328
438,61,105,98,75,14,47,38,0.32361156,3234,1239,3234,25882.9128,0.1249,1239,1160,79,93.62,6.38,35.9,26.53,0.34,6.12,0.19,22.42,8.5,135.4359926
158,19,41,28,32,6,18,14,0.2625608,2499,868,2499,24651.0512,0.1014,868,790,78,91.01,8.99,12.65,37.05,0.48,3.32,0.08,36.01,10.4,63.22529012
364,30,84,72,48,9,44,77,0.32502443,2741,939,2741,21842.2162,0.1255,939,879,60,93.61,6.39,15.07,50.09,0.4,0.99,0.04,24.66,8.76,132.7982488
383,56,82,82,92,10,29,32,0.40416583,4370,1653,4370,28003.9577,0.156,1653,1470,183,88.93,11.07,14.32,43.2,0.25,4.65,0.02,27.67,9.89,87.64302059
418,49,105,82,91,18,37,36,0.31269554,3138,1165,3138,25991.1555,0.1207,1165,1043,122,89.53,10.47,15.58,34.38,0.29,25.91,0,16.76,7.07,133.2058636
364,38,75,95,87,16,23,30,0.28932582,3069,1050,3069,27473.164,0.1117,1050,917,133,87.33,12.67,11.53,51.97,0.85,4.14,0,22.48,9.03,118.6054089
335,39,75,81,67,7,43,23,0.43206193,3452,1214,3452,20693.0007,0.1668,1214,1042,172,85.83,14.17,8.52,56.4,0.49,1.74,0,25.78,7.07,97.04519119
373,43,72,85,92,12,29,40,0.48198232,3860,1380,3860,20742.0432,0.1861,1380,1244,136,90.14,9.86,7.28,75.57,0.91,0.31,0,10.8,5.13,96.63212435
451,53,97,94,106,27,44,30,0.4897385,4945,1693,4945,26151.7726,0.1891,1693,1532,161,90.49,9.51,10.39,58.34,0.34,9.5,0.2,13.89,7.32,91.20323559
1801,89,175,169,191,136,555,486,1.35607018,6451,2454,6451,12932.2386,0.5238,2454,2252,202,91.77,8.23,32.86,23.14,0.39,31.7,0.05,7.44,4.42,279.1815222
597,100,111,112,109,18,68,79,0.58130462,3349,1227,3349,14921.4005,0.2244,1227,1134,93,92.42,7.58,25.65,44.82,0.48,16.18,0,7.82,5.05,178.2621678
587,56,91,98,100,34,133,75,0.34297681,2893,1077,2893,21846.6568,0.1324,1077,956,121,88.77,11.23,5.53,79.99,0.31,0.73,0,8.37,5.08,202.9035603
459,74,115,96,71,12,42,49,0.59401155,5277,2065,5277,23008.6475,0.2293,2065,1873,192,90.7,9.3,7.77,71.82,0.99,0.89,0,12.98,5.55,86.98123934
1050,97,116,98,127,145,259,208,1.03788594,5510,2047,5510,13761.5068,0.4004,2047,1895,152,92.57,7.43,8.26,70.96,0.45,0.96,0.07,14.68,4.61,190.5626134
291,39,63,65,58,13,36,17,0.35059274,2787,1013,2787,20588.8798,0.1354,1013,905,108,89.34,10.66,3.73,83.21,0.5,0.97,0,7.46,4.13,104.4133477
263,48,57,49,55,6,28,20,0.49187961,3303,1262,3303,17391.9406,0.1899,1262,1121,141,88.83,11.17,5.45,83.26,0.24,0.7,0,6.15,4.21,79.62458371
